"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2022","1,910.00","1,910.00","1,910.00","1,910.00","","-1.40%"
"03/28/2022","1,937.05","1,937.05","1,937.05","1,937.05","","-0.86%"
"03/25/2022","1,953.80","1,953.80","1,953.80","1,953.80","","-0.58%"
"03/24/2022","1,965.20","1,965.20","1,965.20","1,965.20","","1.73%"
"03/23/2022","1,931.75","1,931.75","1,931.75","1,931.75","","0.86%"
"03/22/2022","1,915.25","1,915.25","1,915.25","1,915.25","","-1.02%"
"03/21/2022","1,935.05","1,935.05","1,935.05","1,935.05","","-0.04%"
"03/18/2022","1,935.80","1,935.80","1,935.80","1,935.80","","-0.71%"
"03/17/2022","1,949.65","1,949.65","1,949.65","1,949.65","","1.91%"
"03/16/2022","1,913.20","1,913.20","1,913.20","1,913.20","","-0.02%"
"03/15/2022","1,913.65","1,913.65","1,913.65","1,913.65","","-2.07%"
"03/14/2022","1,954.05","1,954.05","1,954.05","1,954.05","","-1.25%"
"03/11/2022","1,978.70","1,978.70","1,978.70","1,978.70","","-0.90%"
"03/10/2022","1,996.60","1,996.60","1,996.60","1,996.60","","0.39%"
"03/09/2022","1,988.90","1,988.90","1,988.90","1,988.90","","-2.46%"
"03/08/2022","2,039.05","2,039.05","2,039.05","2,039.05","","2.93%"
"03/07/2022","1,980.95","1,980.95","1,980.95","1,980.95","","1.83%"
"03/04/2022","1,945.30","1,945.30","1,945.30","1,945.30","","0.81%"
"03/03/2022","1,929.60","1,929.60","1,929.60","1,929.60","","0.06%"
"03/02/2022","1,928.50","1,928.50","1,928.50","1,928.50","","0.34%"
"03/01/2022","1,922.00","1,922.00","1,922.00","1,922.00","","0.64%"
"02/28/2022","1,909.85","1,909.85","1,909.85","1,909.85","","1.33%"
"02/25/2022","1,884.80","1,884.80","1,884.80","1,884.80","","-2.66%"
"02/24/2022","1,936.30","1,936.30","1,936.30","1,936.30","","1.66%"
"02/23/2022","1,904.70","1,904.70","1,904.70","1,904.70","","0.24%"
"02/22/2022","1,900.10","1,900.10","1,900.10","1,900.10","","0.30%"
"02/21/2022","1,894.45","1,894.45","1,894.45","1,894.45","","0.04%"
"02/18/2022","1,893.60","1,893.60","1,893.60","1,893.60","","0.01%"
"02/17/2022","1,893.45","1,893.45","1,893.45","1,893.45","","1.66%"
"02/16/2022","1,862.60","1,862.60","1,862.60","1,862.60","","0.76%"
"02/15/2022","1,848.55","1,848.55","1,848.55","1,848.55","","-0.94%"
"02/14/2022","1,866.15","1,866.15","1,866.15","1,866.15","","1.91%"
"02/11/2022","1,831.15","1,831.15","1,831.15","1,831.15","","-0.23%"
"02/10/2022","1,835.35","1,835.35","1,835.35","1,835.35","","0.41%"
"02/09/2022","1,827.80","1,827.80","1,827.80","1,827.80","","0.29%"
"02/08/2022","1,822.60","1,822.60","1,822.60","1,822.60","","0.50%"
"02/07/2022","1,813.55","1,813.55","1,813.55","1,813.55","","0.49%"
"02/04/2022","1,804.70","1,804.70","1,804.70","1,804.70","","0.67%"
"02/03/2022","1,792.70","1,792.70","1,792.70","1,792.70","","-0.61%"
"02/02/2022","1,803.65","1,803.65","1,803.65","1,803.65","","0.21%"
"02/01/2022","1,799.85","1,799.85","1,799.85","1,799.85","","0.26%"
"01/31/2022","1,795.25","1,795.25","1,795.25","1,795.25","","0.40%"
"01/28/2022","1,788.15","1,788.15","1,788.15","1,788.15","","-1.03%"
"01/27/2022","1,806.75","1,806.75","1,806.75","1,806.75","","-1.59%"
"01/26/2022","1,835.95","1,835.95","1,835.95","1,835.95","","-0.61%"
"01/25/2022","1,847.30","1,847.30","1,847.30","1,847.30","","0.86%"
"01/24/2022","1,831.60","1,831.60","1,831.60","1,831.60","","-0.33%"
"01/21/2022","1,837.60","1,837.60","1,837.60","1,837.60","","-0.42%"
"01/20/2022","1,845.35","1,845.35","1,845.35","1,845.35","","1.01%"
"01/19/2022","1,826.95","1,826.95","1,826.95","1,826.95","","0.53%"
"01/18/2022","1,817.25","1,817.25","1,817.25","1,817.25","","-0.03%"
"01/17/2022","1,817.85","1,817.85","1,817.85","1,817.85","","-0.28%"
"01/14/2022","1,822.95","1,822.95","1,822.95","1,822.95","","0.14%"
"01/13/2022","1,820.35","1,820.35","1,820.35","1,820.35","","-0.06%"
"01/12/2022","1,821.40","1,821.40","1,821.40","1,821.40","","0.81%"
"01/11/2022","1,806.80","1,806.80","1,806.80","1,806.80","","0.70%"
"01/10/2022","1,794.20","1,794.20","1,794.20","1,794.20","","0.09%"
"01/07/2022","1,792.60","1,792.60","1,792.60","1,792.60","","0.18%"
"01/06/2022","1,789.35","1,789.35","1,789.35","1,789.35","","-2.02%"
"01/05/2022","1,826.25","1,826.25","1,826.25","1,826.25","","0.82%"
"01/04/2022","1,811.40","1,811.40","1,811.40","1,811.40","","-0.48%"
